Date,Open,High,Low,Close,Adj Close,Volume
8-Feb-16,"1,873.25","1,873.25","1,828.46","1,853.44","1,853.44","5,636,460,000"
5-Feb-16,"1,913.07","1,913.07","1,872.65","1,880.05","1,880.05","4,929,940,000"
4-Feb-16,"1,911.67","1,927.35","1,900.52","1,915.45","1,915.45","5,193,320,000"
3-Feb-16,"1,907.07","1,918.01","1,872.23","1,912.53","1,912.53","5,172,950,000"
2-Feb-16,"1,935.26","1,935.26","1,897.29","1,903.03","1,903.03","4,463,190,000"
1-Feb-16,"1,936.94","1,947.20","1,920.30","1,939.38","1,939.38","4,322,530,000"
29-Jan-16,"1,894.00","1,940.24","1,894.00","1,940.24","1,940.24","5,497,570,000"
28-Jan-16,"1,885.22","1,902.96","1,873.65","1,893.36","1,893.36","4,693,010,000"
27-Jan-16,"1,902.52","1,916.99","1,872.70","1,882.95","1,882.95","4,754,040,000"
26-Jan-16,"1,878.79","1,906.73","1,878.79","1,903.63","1,903.63","4,357,940,000"
25-Jan-16,"1,906.28","1,906.28","1,875.97","1,877.08","1,877.08","4,401,380,000"
22-Jan-16,"1,877.40","1,908.85","1,877.40","1,906.90","1,906.90","4,901,760,000"
21-Jan-16,"1,861.46","1,889.85","1,848.98","1,868.99","1,868.99","5,078,810,000"
20-Jan-16,"1,876.18","1,876.18","1,812.29","1,859.33","1,859.33","6,416,070,000"
19-Jan-16,"1,888.66","1,901.44","1,864.60","1,881.33","1,881.33","4,928,350,000"
15-Jan-16,"1,916.68","1,916.68","1,857.83","1,880.33","1,880.33","5,468,460,000"
14-Jan-16,"1,891.68","1,934.47","1,878.93","1,921.84","1,921.84","5,241,110,000"
13-Jan-16,"1,940.34","1,950.33","1,886.41","1,890.28","1,890.28","5,087,030,000"
12-Jan-16,"1,927.83","1,947.38","1,914.35","1,938.68","1,938.68","4,887,260,000"
11-Jan-16,"1,926.12","1,935.65","1,901.10","1,923.67","1,923.67","4,607,290,000"
8-Jan-16,"1,945.97","1,960.40","1,918.46","1,922.03","1,922.03","4,664,940,000"
7-Jan-16,"1,985.32","1,985.32","1,938.83","1,943.09","1,943.09","5,076,590,000"
6-Jan-16,"2,011.71","2,011.71","1,979.05","1,990.26","1,990.26","4,336,660,000"
5-Jan-16,"2,013.78","2,021.94","2,004.17","2,016.71","2,016.71","3,706,620,000"
4-Jan-16,"2,038.20","2,038.20","1,989.68","2,012.66","2,012.66","4,304,880,000"
31-Dec-15,"2,060.59","2,062.54","2,043.62","2,043.94","2,043.94","2,655,330,000"
30-Dec-15,"2,077.34","2,077.34","2,061.97","2,063.36","2,063.36","2,367,430,000"
29-Dec-15,"2,060.54","2,081.56","2,060.54","2,078.36","2,078.36","2,542,000,000"
28-Dec-15,"2,057.77","2,057.77","2,044.20","2,056.50","2,056.50","2,492,510,000"
24-Dec-15,"2,063.52","2,067.36","2,058.73","2,060.99","2,060.99","1,411,860,000"
23-Dec-15,"2,042.20","2,064.73","2,042.20","2,064.29","2,064.29","3,484,090,000"
22-Dec-15,"2,023.15","2,042.74","2,020.49","2,038.97","2,038.97","3,520,860,000"
21-Dec-15,"2,010.27","2,022.90","2,005.93","2,021.15","2,021.15","3,760,280,000"
18-Dec-15,"2,040.81","2,040.81","2,005.33","2,005.55","2,005.55","6,683,070,000"
17-Dec-15,"2,073.76","2,076.37","2,041.66","2,041.89","2,041.89","4,327,390,000"
16-Dec-15,"2,046.50","2,076.72","2,042.43","2,073.07","2,073.07","4,635,450,000"
15-Dec-15,"2,025.55","2,053.87","2,025.55","2,043.41","2,043.41","4,353,540,000"
14-Dec-15,"2,013.37","2,022.92","1,993.26","2,021.94","2,021.94","4,612,440,000"
11-Dec-15,"2,047.27","2,047.27","2,008.80","2,012.37","2,012.37","4,301,060,000"
10-Dec-15,"2,047.93","2,067.65","2,045.67","2,052.23","2,052.23","3,715,150,000"
9-Dec-15,"2,061.17","2,080.33","2,036.53","2,047.62","2,047.62","4,385,250,000"
8-Dec-15,"2,073.39","2,073.85","2,052.32","2,063.59","2,063.59","4,173,570,000"
7-Dec-15,"2,090.42","2,090.42","2,066.78","2,077.07","2,077.07","4,043,820,000"
4-Dec-15,"2,051.24","2,093.84","2,051.24","2,091.69","2,091.69","4,214,910,000"
3-Dec-15,"2,080.71","2,085.00","2,042.35","2,049.62","2,049.62","4,306,490,000"
2-Dec-15,"2,101.71","2,104.27","2,077.11","2,079.51","2,079.51","3,950,640,000"
1-Dec-15,"2,082.93","2,103.37","2,082.93","2,102.63","2,102.63","3,712,120,000"
30-Nov-15,"2,090.95","2,093.81","2,080.41","2,080.41","2,080.41","4,245,030,000"
27-Nov-15,"2,088.82","2,093.29","2,084.13","2,090.11","2,090.11","1,466,840,000"
25-Nov-15,"2,089.30","2,093.00","2,086.30","2,088.87","2,088.87","2,852,940,000"
24-Nov-15,"2,084.42","2,094.12","2,070.29","2,089.14","2,089.14","3,884,930,000"
23-Nov-15,"2,089.41","2,095.61","2,081.39","2,086.59","2,086.59","3,587,980,000"
20-Nov-15,"2,082.82","2,097.06","2,082.82","2,089.17","2,089.17","3,929,600,000"
19-Nov-15,"2,083.70","2,086.74","2,078.76","2,081.24","2,081.24","3,628,110,000"
18-Nov-15,"2,051.99","2,085.31","2,051.99","2,083.58","2,083.58","3,926,390,000"
17-Nov-15,"2,053.67","2,066.69","2,045.90","2,050.44","2,050.44","4,427,350,000"
16-Nov-15,"2,022.08","2,053.22","2,019.39","2,053.19","2,053.19","3,741,240,000"
13-Nov-15,"2,044.64","2,044.64","2,022.02","2,023.04","2,023.04","4,278,750,000"
12-Nov-15,"2,072.29","2,072.29","2,045.66","2,045.97","2,045.97","4,016,370,000"
11-Nov-15,"2,083.41","2,086.94","2,074.85","2,075.00","2,075.00","3,692,410,000"
10-Nov-15,"2,077.19","2,083.67","2,069.91","2,081.72","2,081.72","3,821,440,000"
9-Nov-15,"2,096.56","2,096.56","2,068.24","2,078.58","2,078.58","3,882,350,000"
6-Nov-15,"2,098.60","2,101.91","2,083.74","2,099.20","2,099.20","4,369,020,000"
5-Nov-15,"2,101.68","2,108.78","2,090.41","2,099.93","2,099.93","4,051,890,000"
4-Nov-15,"2,110.60","2,114.59","2,096.98","2,102.31","2,102.31","4,078,870,000"
3-Nov-15,"2,102.63","2,116.48","2,097.51","2,109.79","2,109.79","4,272,060,000"
2-Nov-15,"2,080.76","2,106.20","2,080.76","2,104.05","2,104.05","3,760,020,000"
30-Oct-15,"2,090.00","2,094.32","2,079.34","2,079.36","2,079.36","4,256,200,000"
29-Oct-15,"2,088.35","2,092.52","2,082.63","2,089.41","2,089.41","4,008,940,000"
28-Oct-15,"2,066.48","2,090.35","2,063.11","2,090.35","2,090.35","4,698,110,000"
27-Oct-15,"2,068.75","2,070.37","2,058.84","2,065.89","2,065.89","4,216,880,000"
26-Oct-15,"2,075.08","2,075.14","2,066.53","2,071.18","2,071.18","3,385,800,000"
23-Oct-15,"2,058.19","2,079.74","2,058.19","2,075.15","2,075.15","4,108,460,000"
22-Oct-15,"2,021.88","2,055.20","2,021.88","2,052.51","2,052.51","4,430,850,000"
21-Oct-15,"2,033.47","2,037.97","2,017.22","2,018.94","2,018.94","3,627,790,000"
20-Oct-15,"2,033.13","2,039.12","2,026.61","2,030.77","2,030.77","3,331,500,000"
19-Oct-15,"2,031.73","2,034.45","2,022.31","2,033.66","2,033.66","3,287,320,000"
16-Oct-15,"2,024.37","2,033.54","2,020.46","2,033.11","2,033.11","3,595,430,000"
15-Oct-15,"1,996.47","2,024.15","1,996.47","2,023.86","2,023.86","3,746,290,000"
14-Oct-15,"2,003.66","2,009.56","1,990.73","1,994.24","1,994.24","3,644,590,000"
13-Oct-15,"2,015.00","2,022.34","2,001.78","2,003.69","2,003.69","3,401,920,000"
12-Oct-15,"2,015.65","2,018.66","2,010.55","2,017.46","2,017.46","2,893,250,000"
9-Oct-15,"2,013.73","2,020.13","2,007.61","2,014.89","2,014.89","3,706,900,000"
8-Oct-15,"1,994.01","2,016.50","1,987.53","2,013.43","2,013.43","3,939,140,000"
7-Oct-15,"1,982.34","1,999.31","1,976.44","1,995.83","1,995.83","4,666,470,000"
6-Oct-15,"1,986.63","1,991.62","1,971.99","1,979.92","1,979.92","4,202,400,000"
5-Oct-15,"1,954.33","1,989.17","1,954.33","1,987.05","1,987.05","4,334,490,000"
2-Oct-15,"1,921.77","1,951.36","1,893.70","1,951.36","1,951.36","4,378,570,000"
1-Oct-15,"1,919.65","1,927.21","1,900.70","1,923.82","1,923.82","3,983,600,000"
30-Sep-15,"1,887.14","1,920.53","1,887.14","1,920.03","1,920.03","4,525,070,000"
29-Sep-15,"1,881.90","1,899.48","1,871.91","1,884.09","1,884.09","4,132,390,000"
28-Sep-15,"1,929.18","1,929.18","1,879.21","1,881.77","1,881.77","4,326,660,000"
25-Sep-15,"1,935.93","1,952.89","1,921.50","1,931.34","1,931.34","3,721,870,000"
24-Sep-15,"1,934.81","1,937.17","1,908.92","1,932.24","1,932.24","4,091,530,000"
23-Sep-15,"1,943.24","1,949.52","1,932.57","1,938.76","1,938.76","3,190,530,000"
22-Sep-15,"1,961.39","1,961.39","1,929.22","1,942.74","1,942.74","3,808,260,000"
21-Sep-15,"1,960.84","1,979.64","1,955.80","1,966.97","1,966.97","3,269,350,000"
18-Sep-15,"1,989.66","1,989.66","1,953.45","1,958.03","1,958.03","6,021,240,000"
17-Sep-15,"1,995.33","2,020.86","1,986.73","1,990.20","1,990.20","4,183,790,000"
16-Sep-15,"1,978.02","1,997.26","1,977.93","1,995.31","1,995.31","3,630,680,000"
15-Sep-15,"1,955.10","1,983.19","1,954.30","1,978.09","1,978.09","3,239,860,000"
14-Sep-15,"1,963.06","1,963.06","1,948.27","1,953.03","1,953.03","3,000,200,000"
